OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
4992,101110,1011.10,12295621.353339376,15083.854287367758,34.25947853591936,-118.29299910773922,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",9.641,5.991,0,0,1,2,4,0,0,0,2,3
4993,101122,1011.22,28457743.575427715,31671.455843553864,34.26772617143315,-118.29015868135495,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",10.297,6.398,0,0,0,1,3,0,0,0,2,3
4994,101220,1012.20,7522092.633087869,12698.783810231038,34.2516131395811,-118.28164497009206,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",10.28,6.388,0,0,0,1,4,0,0,0,2,3
4995,101221,1012.21,3811999.6702340813,9161.710543244892,34.25433386989916,-118.29258890417314,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",9.443,5.868,0,0,1,2,4,0,0,0,2,3
4996,101222,1012.22,3191370.8544584266,9980.600461083694,34.25135679129439,-118.28853834468164,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",9.672,6.01,0,0,1,1,4,0,0,0,2,3
4997,101300,1013.00,27773766.076139838,29384.86060157467,34.24878260613529,-118.27101118325328,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",11.122,6.911,0,0,0,1,4,0,0,0,1,2
4998,101400,1014.00,67915323.05888298,42668.928985777464,34.24285698502715,-118.29417342516513,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",8.895,5.527,0,0,1,2,4,0,0,0,2,4
4999,102103,1021.03,12770232.65694983,16349.935001961798,34.225084103655185,-118.35420017182696,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",3.089,1.919,0,1,2,2,7,0,1,1,2,7
5000,102104,1021.04,17851202.53053955,27555.466359485115,34.21619219522854,-118.34541028940349,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",3.933,2.444,0,1,2,2,7,0,1,1,2,7
5001,102105,1021.05,5303654.196848134,9962.251126453337,34.209880817279114,-118.34927747083388,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",3.773,2.345,0,1,2,2,7,0,1,1,2,7
5002,102107,1021.07,139083341.10495937,63679.43426946343,34.240478174871534,-118.33802050333547,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",4.998,3.105,0,1,1,2,7,0,0,1,2,5
5003,103101,1031.01,21846686.86044897,25422.127636915837,34.27324561906331,-118.30789961619375,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",9.278,5.765,0,0,1,2,3,0,0,0,2,3
5004,103102,1031.02,13357089.84417399,16530.394260844285,34.26338921375632,-118.30740047633623,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",8.688,5.399,0,0,1,2,4,0,0,0,2,3
5005,103201,1032.01,21039344.777620792,18231.16937560696,34.265649517994774,-118.32363889040043,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",7.621,4.735,0,0,1,2,4,0,0,1,2,3
5006,103202,1032.02,50999127.734168455,45719.36855244339,34.27494055120328,-118.3435117791042,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",7.143,4.439,0,0,1,2,3,0,0,1,2,3
5007,103300,1033.00,66105765.827515356,37338.68631657402,34.257383503421316,-118.35549072188324,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",4.915,3.054,0,1,2,2,5,0,0,1,2,5
5008,103401,1034.01,15085817.311547711,20468.599514876587,34.253973640273344,-118.3183969299367,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",7.285,4.527,0,0,1,2,4,0,0,1,2,4
5009,103402,1034.02,11829767.980315603,14650.197628715025,34.25594541798619,-118.30836046993647,385,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",8.202,5.096,0,0,1,2,4,0,0,0,2,4
