OBJECTID,ZIPCODE,Shape_Length,Shape_Area,centroid_lat,centroid_lon,nearest_facility_any_id,nearest_facility_any_name,nearest_facility_any_distance_km,nearest_facility_any_distance_miles,count_any_within_1km,count_any_within_5km,count_any_within_10km,count_any_within_15km,count_any_within_25km,count_any_within_1mi,count_any_within_3mi,count_any_within_5mi,count_any_within_10mi,count_any_within_15mi,nearest_facility_otp_id,nearest_facility_otp_name,nearest_facility_otp_distance_km,nearest_facility_otp_distance_miles,count_otp_within_1km,count_otp_within_5km,count_otp_within_10km,count_otp_within_15km,count_otp_within_25km,count_otp_within_1mi,count_otp_within_3mi,count_otp_within_5mi,count_otp_within_10mi,count_otp_within_15mi,nearest_facility_mat_id,nearest_facility_mat_name,nearest_facility_mat_distance_km,nearest_facility_mat_distance_miles,count_mat_within_1km,count_mat_within_5km,count_mat_within_10km,count_mat_within_15km,count_mat_within_25km,count_mat_within_1mi,count_mat_within_3mi,count_mat_within_5mi,count_mat_within_10mi,count_mat_within_15mi,nearest_facility_residential_id,nearest_facility_residential_name,nearest_facility_residential_distance_km,nearest_facility_residential_distance_miles,count_residential_within_1km,count_residential_within_5km,count_residential_within_10km,count_residential_within_15km,count_residential_within_25km,count_residential_within_1mi,count_residential_within_3mi,count_residential_within_5mi,count_residential_within_10mi,count_residential_within_15mi,nearest_facility_outpatient_id,nearest_facility_outpatient_name,nearest_facility_outpatient_distance_km,nearest_facility_outpatient_distance_miles,count_outpatient_within_1km,count_outpatient_within_5km,count_outpatient_within_10km,count_outpatient_within_15km,count_outpatient_within_25km,count_outpatient_within_1mi,count_outpatient_within_3mi,count_outpatient_within_5mi,count_outpatient_within_10mi,count_outpatient_within_15mi,nearest_facility_iop_id,nearest_facility_iop_name,nearest_facility_iop_distance_km,nearest_facility_iop_distance_miles,count_iop_within_1km,count_iop_within_5km,count_iop_within_10km,count_iop_within_15km,count_iop_within_25km,count_iop_within_1mi,count_iop_within_3mi,count_iop_within_5mi,count_iop_within_10mi,count_iop_within_15mi,nearest_facility_withdrawal_mgmt_id,nearest_facility_withdrawal_mgmt_name,nearest_facility_withdrawal_mgmt_distance_km,nearest_facility_withdrawal_mgmt_distance_miles,count_withdrawal_mgmt_within_1km,count_withdrawal_mgmt_within_5km,count_withdrawal_mgmt_within_10km,count_withdrawal_mgmt_within_15km,count_withdrawal_mgmt_within_25km,count_withdrawal_mgmt_within_1mi,count_withdrawal_mgmt_within_3mi,count_withdrawal_mgmt_within_5mi,count_withdrawal_mgmt_within_10mi,count_withdrawal_mgmt_within_15mi,nearest_facility_co_occurring_id,nearest_facility_co_occurring_name,nearest_facility_co_occurring_distance_km,nearest_facility_co_occurring_distance_miles,count_co_occurring_within_1km,count_co_occurring_within_5km,count_co_occurring_within_10km,count_co_occurring_within_15km,count_co_occurring_within_25km,count_co_occurring_within_1mi,count_co_occurring_within_3mi,count_co_occurring_within_5mi,count_co_occurring_within_10mi,count_co_occurring_within_15mi,nearest_facility_men_id,nearest_facility_men_name,nearest_facility_men_distance_km,nearest_facility_men_distance_miles,count_men_within_1km,count_men_within_5km,count_men_within_10km,count_men_within_15km,count_men_within_25km,count_men_within_1mi,count_men_within_3mi,count_men_within_5mi,count_men_within_10mi,count_men_within_15mi,nearest_facility_women_id,nearest_facility_women_name,nearest_facility_women_distance_km,nearest_facility_women_distance_miles,count_women_within_1km,count_women_within_5km,count_women_within_10km,count_women_within_15km,count_women_within_25km,count_women_within_1mi,count_women_within_3mi,count_women_within_5mi,count_women_within_10mi,count_women_within_15mi,nearest_facility_youth_id,nearest_facility_youth_name,nearest_facility_youth_distance_km,nearest_facility_youth_distance_miles,count_youth_within_1km,count_youth_within_5km,count_youth_within_10km,count_youth_within_15km,count_youth_within_25km,count_youth_within_1mi,count_youth_within_3mi,count_youth_within_5mi,count_youth_within_10mi,count_youth_within_15mi
1,90001,48677.27847787667,95563401.53202106,33.973681253292156,-118.24942386764316,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,0.829,0.515,2,26,234,342,534,2,26,162,350,524,34,"ADDICTION RESEARCH AND TREATMENT, INC.",3.567,2.216,0,4,10,26,44,0,4,6,26,42,40,"JWCH INSTITUTE, INC.",3.062,1.903,0,5,17,35,61,0,5,10,36,58,22,"JWCH INSTITUTE, INC.",3.062,1.903,0,10,160,214,304,0,10,120,218,300,22,"JWCH INSTITUTE, INC.",3.062,1.903,0,14,180,254,368,0,14,130,258,360,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,0.829,0.515,2,6,38,64,110,2,6,22,66,108,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,4.517,2.807,0,2,10,24,46,0,2,6,26,42,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,0.829,0.515,1,5,22,35,60,1,5,12,36,59,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,4.517,2.807,0,4,108,150,220,0,4,80,152,216,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,0.829,0.515,1,10,108,136,193,1,10,78,138,188,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,0.829,0.515,1,2,13,21,39,1,2,9,24,39
2,90002,44972.01703453636,82752224.01451889,33.94909502111195,-118.24705025570857,60,"SHIELDS FOR FAMILIES, INC.",0.823,0.511,2,92,164,342,580,2,92,110,358,528,34,"ADDICTION RESEARCH AND TREATMENT, INC.",1.736,1.079,0,6,10,24,42,0,6,6,28,42,34,"ADDICTION RESEARCH AND TREATMENT, INC.",1.736,1.079,0,7,12,35,56,0,7,10,39,54,81,"BEHAVIORAL HEALTH SERVICES, INC.",3.092,1.921,0,66,100,208,346,0,66,74,218,300,34,"ADDICTION RESEARCH AND TREATMENT, INC.",1.736,1.079,0,72,118,246,406,0,72,84,260,360,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,1.92,1.193,0,12,30,68,118,0,12,18,70,112,80,"TARZANA TREATMENT CENTERS, INC.",3.092,1.921,0,4,8,24,38,0,4,6,26,34,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,1.92,1.193,0,7,18,36,60,0,7,11,37,57,81,"BEHAVIORAL HEALTH SERVICES, INC.",3.092,1.921,0,44,64,142,236,0,44,46,152,202,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,1.92,1.193,0,35,66,135,218,0,35,43,139,202,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,1.92,1.193,0,6,10,25,41,0,6,7,25,40
3,90003,63303.481758449634,102643123.14496835,33.96410325070761,-118.27394758066342,105,YOU CAN HEALTH SERVICES,1.036,0.643,0,28,214,332,508,2,26,132,352,498,34,"ADDICTION RESEARCH AND TREATMENT, INC.",2.352,1.461,0,6,10,18,40,0,6,10,24,40,34,"ADDICTION RESEARCH AND TREATMENT, INC.",2.352,1.461,0,4,14,29,53,0,4,11,35,53,22,"JWCH INSTITUTE, INC.",3.493,2.171,0,6,148,212,286,0,6,84,216,284,34,"ADDICTION RESEARCH AND TREATMENT, INC.",2.352,1.461,0,12,168,246,344,0,12,98,254,340,105,YOU CAN HEALTH SERVICES,1.036,0.643,0,10,34,58,106,2,8,22,68,102,80,"TARZANA TREATMENT CENTERS, INC.",5.667,3.521,0,0,10,22,36,0,0,6,24,34,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,2.429,1.509,0,3,20,32,58,0,3,14,37,56,81,"BEHAVIORAL HEALTH SERVICES, INC.",5.667,3.521,0,0,102,150,202,0,0,52,152,200,48,TESSIE CLEVELAND COMMUNITY SERVICES CORPORATION,2.429,1.509,0,9,91,132,190,0,9,50,137,188,105,YOU CAN HEALTH SERVICES,1.036,0.643,0,3,12,22,38,1,2,8,25,37
4,90004,52471.89763473753,83956967.23410559,34.07620916143665,-118.31095043775098,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,50,150,226,440,4,50,110,244,436,46,WESTERN PACIFIC MED-CORP,7.852,4.879,0,0,6,10,42,0,0,2,18,40,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,8,16,20,54,1,8,11,24,52,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,38,108,144,246,2,38,80,144,246,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,40,122,168,308,2,40,88,176,306,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",1.52,0.944,0,8,22,38,92,2,8,18,44,90,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,6,10,14,44,2,6,6,16,42,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,9,16,21,53,2,9,11,23,52,38,"SADLER HEALTHCARE, INC.",1.056,0.656,0,28,80,106,178,2,28,64,106,178,26,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",1.944,1.208,0,23,69,95,155,0,23,51,97,154,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",1.52,0.944,0,4,8,12,27,1,4,6,13,27
5,90005,88978.01112804614,36885814.33233301,34.059799589922704,-118.30997906415313,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.735,0.456,2,46,152,238,442,6,46,118,256,430,11,"ADDICTION RESEARCH AND TREATMENT, INC.",9.242,5.743,0,0,6,16,40,0,0,0,22,38,25,CHILDREN'S HOSPITAL LOS ANGELES,1.545,0.96,0,8,16,23,52,1,8,11,27,50,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.432,0.89,0,34,108,144,246,2,34,90,148,244,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.432,0.89,0,38,122,174,306,4,38,96,184,306,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.735,0.456,2,6,24,40,90,2,6,18,48,84,38,"SADLER HEALTHCARE, INC.",2.004,1.245,0,6,10,16,38,0,6,8,16,36,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.735,0.456,1,7,17,22,52,2,7,13,26,49,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.432,0.89,0,24,80,106,178,2,24,72,110,176,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.432,0.89,0,19,70,95,154,2,19,57,102,151,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.735,0.456,1,3,8,13,28,2,3,6,16,25
6,90006,37832.454800946,53703662.40308896,34.04827046176715,-118.29406577724185,24,"SADLER HEALTHCARE, INC.",0.743,0.462,2,90,170,320,468,10,90,144,332,448,11,"ADDICTION RESEARCH AND TREATMENT, INC.",7.916,4.919,0,0,4,18,46,0,0,4,18,42,25,CHILDREN'S HOSPITAL LOS ANGELES,1.416,0.88,0,8,16,28,58,1,8,15,29,54,24,"SADLER HEALTHCARE, INC.",0.743,0.462,2,70,122,210,252,6,70,106,216,246,24,"SADLER HEALTHCARE, INC.",0.743,0.462,2,76,134,242,322,8,76,118,248,314,18,"ALCOHOLISM CENTER FOR WOMEN, INC.",1.185,0.736,0,10,28,52,96,2,10,20,58,88,24,"SADLER HEALTHCARE, INC.",0.743,0.462,2,6,10,18,40,2,6,10,22,36,24,"SADLER HEALTHCARE, INC.",0.743,0.462,1,7,17,30,56,3,7,17,35,52,24,"SADLER HEALTHCARE, INC.",0.743,0.462,2,54,88,150,178,4,54,78,154,176,16,"ALCOHOLISM CENTER FOR WOMEN, INC.",1.197,0.744,0,46,84,130,161,4,46,68,138,155,25,CHILDREN'S HOSPITAL LOS ANGELES,1.416,0.88,0,5,9,19,32,1,5,7,21,28
7,90007,57886.26997575132,68596085.98789631,34.02845000268833,-118.28498601180041,32,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,0.642,0.399,2,98,184,328,470,6,96,158,336,462,11,"ADDICTION RESEARCH AND TREATMENT, INC.",7.862,4.885,0,0,8,18,44,0,0,4,22,42,25,CHILDREN'S HOSPITAL LOS ANGELES,3.697,2.297,0,9,18,29,58,0,8,15,32,57,20,"THE SALVATION ARMY, A CALIFORNIA CORPORATION",1.143,0.71,0,74,122,214,252,2,72,114,214,252,32,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,0.642,0.399,2,80,140,246,320,4,78,126,252,316,18,"ALCOHOLISM CENTER FOR WOMEN, INC.",2.377,1.477,0,14,30,58,98,0,14,24,60,96,24,"SADLER HEALTHCARE, INC.",1.617,1.005,0,4,10,20,40,0,4,10,20,40,24,"SADLER HEALTHCARE, INC.",1.617,1.005,0,10,19,35,57,0,9,16,35,54,20,"THE SALVATION ARMY, A CALIFORNIA CORPORATION",1.143,0.71,0,52,88,152,178,2,50,82,152,178,16,"ALCOHOLISM CENTER FOR WOMEN, INC.",2.395,1.488,0,52,86,136,162,0,50,77,136,161,25,CHILDREN'S HOSPITAL LOS ANGELES,3.697,2.297,0,5,10,21,34,0,5,9,22,32
8,90008,59093.41868237459,106644565.28327772,34.0090526985868,-118.34864637398418,58,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,12,118,316,416,0,12,82,324,406,109,"AEGIS TREATMENT CENTERS, LLC",5.891,3.661,0,0,4,16,40,0,0,4,18,36,47,"CHABAD OF CALIFORNIA, INC.",5.399,3.355,0,0,11,29,49,0,0,5,30,46,58,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,8,68,214,232,0,8,46,216,230,58,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,10,80,242,292,0,10,58,246,284,86,"CHABAD OF CALIFORNIA, INC.",4.819,2.994,0,2,26,52,80,0,2,16,54,78,24,"SADLER HEALTHCARE, INC.",6.488,4.032,0,0,6,18,32,0,0,2,18,32,63,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,2,13,30,48,0,2,9,30,45,63,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,6,48,152,162,0,6,34,154,162,58,"ASIAN AMERICAN DRUG ABUSE PROGRAM, INC.",2.335,1.451,0,6,35,130,150,0,6,22,130,148,124,DIDI HIRSCH PSYCHIATRIC SERVICE,5.29,3.287,0,0,8,18,27,0,0,4,19,26
9,90010,42372.00983965321,4555114.650669028,34.06175174136851,-118.31064741640398,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.68,0.423,2,48,152,238,438,4,48,116,256,428,46,WESTERN PACIFIC MED-CORP,9.212,5.724,0,0,6,16,40,0,0,0,22,38,25,CHILDREN'S HOSPITAL LOS ANGELES,1.603,0.996,0,8,16,23,53,1,8,10,27,49,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.649,1.025,0,34,108,144,246,0,34,88,148,244,25,CHILDREN'S HOSPITAL LOS ANGELES,1.603,0.996,0,38,122,174,306,2,38,94,184,306,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.68,0.423,2,8,24,40,92,2,8,18,48,82,38,"SADLER HEALTHCARE, INC.",1.85,1.149,0,6,10,16,42,0,6,6,16,36,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.68,0.423,1,8,17,22,53,2,8,12,26,48,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.649,1.025,0,24,80,106,178,0,24,70,110,176,41,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA,1.649,1.025,0,19,70,95,154,0,19,57,102,151,39,"KOREATOWN YOUTH AND COMMUNITY CENTER, INC.",0.68,0.423,1,4,8,13,28,2,4,6,16,24
10,90011,57120.06467111682,119579543.02276778,34.006956807601654,-118.25865676671933,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,54,254,342,476,0,52,162,350,468,34,"ADDICTION RESEARCH AND TREATMENT, INC.",6.99,4.344,0,0,12,24,40,0,0,8,24,40,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,4,23,32,60,0,4,16,33,58,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,38,178,216,260,0,36,108,218,256,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,42,200,256,322,0,40,124,260,318,42,"SPECIAL SERVICE FOR GROUPS, INC.",2.59,1.609,0,8,40,62,104,0,8,26,62,100,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,4,16,22,46,0,2,6,24,42,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,7,26,34,58,0,6,15,36,56,17,VOLUNTEERS OF AMERICA OF LOS ANGELES,1.614,1.003,0,26,122,154,186,0,24,74,154,182,22,"JWCH INSTITUTE, INC.",1.658,1.03,0,28,118,136,168,0,28,80,138,164,181,LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,4.48,2.784,0,3,16,22,38,0,3,9,22,37
