OBJECTID,ZIPCODE,Shape_Length,Shape_Area,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
1,90001,48677.27847787667,95563401.53202106,33.973681253292156,-118.24942386764316,317,BROWN SCAPULAR PROGRAM,2.961,1.84,0,7,26,62,137,0,6,17,71,126
2,90002,44972.01703453636,82752224.01451889,33.94909502111195,-118.24705025570857,317,BROWN SCAPULAR PROGRAM,0.567,0.352,1,7,21,51,133,1,7,15,62,126
3,90003,63303.481758449634,102643123.14496835,33.96410325070761,-118.27394758066342,953,SUNSET HAVEN,2.911,1.809,0,5,26,66,133,0,5,18,72,124
4,90004,52471.89763473753,83956967.23410559,34.07620916143665,-118.31095043775098,375,MARIPOSA HOUSE,1.037,0.644,0,30,64,101,229,5,28,50,118,220
5,90005,88978.01112804614,36885814.33233301,34.059799589922704,-118.30997906415313,499,FRIENDLY HOUSE,1.216,0.756,0,27,62,96,222,3,25,51,108,207
6,90006,37832.454800946,53703662.40308896,34.04827046176715,-118.29406577724185,379,MENLO HOUSE RESIDENTIAL,0.76,0.472,2,23,57,89,208,4,21,43,100,198
7,90007,57886.26997575132,68596085.98789631,34.02845000268833,-118.28498601180041,243,HOPE HARBOR CENTER,1.137,0.707,0,16,47,88,188,3,16,34,94,178
8,90008,59093.41868237459,106644565.28327772,34.0090526985868,-118.34864637398418,331,ASIAN AMERICAN DRUG ABUSE PROGRAM,2.35,1.46,0,7,49,90,193,0,7,37,92,180
9,90010,42372.00983965321,4555114.650669028,34.06175174136851,-118.31064741640398,499,FRIENDLY HOUSE,1.121,0.697,0,26,62,97,222,2,25,49,107,209
10,90011,57120.06467111682,119579543.02276778,34.006956807601654,-118.25865676671933,473,HILLSMAN CENTER,1.003,0.623,0,9,36,81,161,2,8,21,87,153
11,90012,61817.4669419489,96562155.68188718,34.06617897708658,-118.23885263923177,404,WEINGART CENTER ASSOCIATION/EPIC,2.667,1.657,0,7,40,76,191,0,6,28,89,183
12,90014,14875.295283464926,7917526.068145594,34.04301268291464,-118.25177341573759,404,WEINGART CENTER ASSOCIATION/EPIC,0.653,0.405,1,11,43,77,182,1,11,27,94,175
13,90015,37381.58648645402,46602624.3150348,34.03952149654342,-118.266357200421,202,ALCOHOLISM CENTER FOR WOMEN,1.794,1.115,0,16,46,86,188,0,15,33,92,178
14,90016,57294.14517636251,103266621.82654949,34.02865211894937,-118.35410844899674,763,SERENE RECOVERY,1.003,0.623,0,16,61,90,217,1,16,42,101,200
15,90017,24579.726993410834,19807345.013671927,34.05304015064446,-118.26453398114276,280,ROYAL PALMS RECOVERY HOME,1.098,0.682,0,18,50,83,196,2,18,36,94,185
16,90018,44601.2749743104,83025065.79417403,34.028814805698815,-118.31710481964932,239,CASTLE SUBSTANCE ABUSE PROGRAM - WEST,2.063,1.282,0,19,57,92,198,0,19,39,96,190
17,90019,66607.66262818372,106758471.96429351,34.048707216594686,-118.33895613428545,568,CONQUER RECOVERY,0.186,0.116,3,21,71,101,226,5,20,50,112,214
18,90020,41832.39927305534,32961671.812516447,34.066346884400126,-118.31014082998418,499,FRIENDLY HOUSE,0.877,0.545,1,27,64,100,223,2,25,49,111,210
19,90021,38396.76810795646,57382616.77705307,34.02902274706476,-118.23913843674784,404,WEINGART CENTER ASSOCIATION/EPIC,1.604,0.997,0,10,35,71,165,1,9,23,84,154
20,90022,60796.016444147404,118832976.58019985,34.02440202125322,-118.15581515843365,276,MARIPOSA RECOVERY HOME,3.465,2.153,0,4,11,43,125,0,4,5,53,119
21,90023,78312.76335159462,159187490.6449151,34.01935499534808,-118.19969922879875,276,MARIPOSA RECOVERY HOME,1.422,0.884,0,5,19,54,145,1,4,11,67,136
22,90024,59099.36935588863,81821002.54064175,34.0655487591506,-118.43524595233721,408,CASA PALMERA LOS ANGELES,2.299,1.428,0,9,45,127,279,0,8,30,145,266
23,90025,61701.203222360185,69502027.71454719,34.04500261044138,-118.44629091307294,377,NEW DIRECTIONS FOR VETERANS,1.421,0.883,0,9,35,100,265,1,9,21,118,257
24,90026,65508.23741448815,113989370.87885708,34.07893513199354,-118.26332155635033,280,ROYAL PALMS RECOVERY HOME,2.178,1.353,0,17,53,88,200,0,16,38,102,194
25,90027,80042.7030038521,240682382.71763977,34.12550850345176,-118.29205757523566,612,LUXE RECOVERY,1.314,0.817,0,18,58,118,242,1,16,36,134,223
26,90028,40223.52114127238,43287307.960974105,34.099834320729286,-118.32708492560478,334,VAN NESS RECOVERY HOUSE,0.843,0.524,1,24,67,128,257,5,23,52,139,251
27,90029,35471.19448437367,39819876.052322865,34.08984538173996,-118.29476471453084,623,RISE WELLNESS CENTER,0.409,0.254,3,23,58,99,223,6,23,46,113,213
28,90031,79588.41185971093,106239041.30619103,34.07853278433985,-118.21283295230621,319,LINCOLN HEIGHTS RECOVERY CAMPUS,1.507,0.936,0,3,28,73,182,1,2,19,83,171
29,90032,66300.14995991437,140227856.029871,34.08019221433801,-118.17839666418793,319,LINCOLN HEIGHTS RECOVERY CAMPUS,2.49,1.547,0,1,14,59,153,0,1,4,70,143
30,90033,45641.60214909002,85104880.37886329,34.0504590490092,-118.21105139342939,319,LINCOLN HEIGHTS RECOVERY CAMPUS,2.207,1.371,0,3,31,69,163,0,3,15,75,150
31,90034,56671.572994271984,86401301.02063446,34.03073282026863,-118.39942873338825,752,1 METHOD,0.679,0.422,2,14,43,93,226,3,14,33,104,217
32,90035,43983.58565740455,57209188.43203896,34.05177199209521,-118.38355053134187,642,SYNERGY RECOVERY,0.06,0.037,2,20,64,107,247,2,20,36,117,232
33,90036,41354.98165139306,69593162.03353071,34.07008974396586,-118.35008399483722,471,REVIVE DETOX,0.889,0.552,1,26,67,116,251,5,24,56,125,234
